ID,region,DICE,JACC,ACCU,PREC,SENS,SPEC,HAUS,model
BraTS2024_PED-00133-000,NEC,0.5326939801179088,0.36304218268028005,0.9891062948028674,0.8791512037301361,0.3821110751139082,0.9991324076814028,82.86736390159881,nnUnet
BraTS2024_PED-00134-000,EDE,0.0,0.0,0.9890619399641577,,,0.9890619399641577,,nnUnet
BraTS2024_PED-00134-000,ENH,0.0,0.0,0.9963405017921146,,,0.9967944630697627,124.41061047997474,nnUnet
BraTS2024_PED-00134-000,NEC,0.02879680341703696,0.014608744277076853,0.9905258736559139,0.022279470551656747,0.04070371332121527,0.9938147901045633,106.42368157510809,nnUnet
BraTS2024_PED-00135-000,EDE,0.4377020667075916,0.2801655544568072,0.9876883960573477,0.32304369822775636,0.6785357420419039,0.9898871409441519,111.8436408563312,nnUnet
BraTS2024_PED-00135-000,ENH,0.0,0.0,0.9996439292114695,,,0.9996439292114695,,nnUnet
BraTS2024_PED-00135-000,NEC,0.6181792873051225,0.44736577012188977,0.9944697580645161,0.5904538202446374,0.6486368062317429,0.9968732447740791,24.919871588754223,nnUnet
BraTS2024_PED-00136-000,EDE,0.2186421425138713,0.12273903393135246,0.9919872311827957,0.13180662917945138,0.64082207567706,0.9926026501784427,108.77499712709718,nnUnet
BraTS2024_PED-00136-000,ENH,0.7631802911534155,0.6170505577285238,0.9994078181003584,0.906565925295307,0.658957301980198,0.9999015150971299,88.8313007897554,nnUnet
BraTS2024_PED-00136-000,NEC,0.42658854122692963,0.27112332177851234,0.9923929211469534,0.9023466800014287,0.27931892310243794,0.9996906384175261,75.18643494673756,nnUnet
BraTS2024_PED-00137-000,EDE,0.0,0.0,0.9926708109318997,,,0.9926708109318997,,nnUnet
BraTS2024_PED-00137-000,ENH,0.0,0.0,0.9996610663082437,,,0.999661402215973,138.25339055516866,nnUnet
BraTS2024_PED-00137-000,NEC,0.45115010271781225,0.2912807131985214,0.9945238575268818,0.6461093247588424,0.34657375946463376,0.9987591912127378,96.13532129243653,nnUnet
BraTS2024_PED-00138-000,EDE,0.7271503418344024,0.5712774774063696,0.9939161066308244,0.6022616640455328,0.9173849117825998,0.9945984361806574,105.19505691808908,nnUnet
BraTS2024_PED-00138-000,ENH,0.531369498524216,0.36181292570885476,0.996389896953405,0.8879440206035278,0.379123615087763,0.9997403095249195,38.13135192987524,nnUnet
BraTS2024_PED-00138-000,NEC,0.7271395732042232,0.5712641841137925,0.9969952956989248,0.5720687558016709,0.9975440946639875,0.9969930842512197,46.195237849804386,nnUnet
BraTS2024_PED-00139-000,EDE,0.0003674241728363309,0.00018374584275030777,0.9939053539426523,0.00018374584275030777,1.0,0.9939053471162042,144.05901568454507,nnUnet
BraTS2024_PED-00139-000,ENH,0.0,0.0,0.9993289650537635,,,0.9993663517429976,112.36992480196825,nnUnet
BraTS2024_PED-00139-000,NEC,0.4517197655955495,0.2917558175567,0.9946239919354839,0.4703363623388363,0.43452080082631916,0.9974932724435482,84.17838202293983,nnUnet
BraTS2024_PED-00140-000,EDE,0.0,0.0,0.9989002016129033,,,0.9989002016129033,,nnUnet
BraTS2024_PED-00140-000,ENH,0.6421760513901436,0.4729450029568303,0.9996006944444444,0.9580712788259959,0.48294082125603865,0.9999843073534845,90.22749026765624,nnUnet
BraTS2024_PED-00140-000,NEC,0.11578947368421053,0.061452513966480445,0.9990403225806451,0.2166023166023166,0.07901408450704225,0.999772556580614,102.10288928331069,nnUnet
BraTS2024_PED-00141-000,EDE,0.7320781262931392,0.5773842548775154,0.9927479838709677,0.5974442620847095,0.9450433221867288,0.9932534176914581,87.37276463521113,nnUnet
BraTS2024_PED-00141-000,ENH,0.533198439080792,0.36351095696042884,0.9981911962365592,0.48131719027241415,0.5976154992548435,0.9988848330677346,113.67057666784312,nnUnet
BraTS2024_PED-00141-000,NEC,0.5426239419588875,0.3723293922422734,0.9993221326164875,0.3906845140929372,0.8879544892406629,0.9993725877433072,117.81765572273113,nnUnet
BraTS2024_PED-00142-000,EDE,0.0,0.0,0.9906186155913979,,,0.9906186155913979,,nnUnet
BraTS2024_PED-00142-000,ENH,0.0,0.0,0.9994882392473118,,,0.9995625794749968,55.11805511808268,nnUnet
BraTS2024_PED-00142-000,NEC,0.649558195577728,0.4809968067121658,0.9953578629032258,0.7980635375760976,0.5476502794570549,0.9989027828830969,42.20189569201838,nnUnet
BraTS2024_PED-00143-000,EDE,0.0,0.0,0.9920235215053763,,,0.9920235215053763,,nnUnet
BraTS2024_PED-00143-000,ENH,0.0,0.0,0.9990405465949821,,,1.0,0.0,nnUnet
BraTS2024_PED-00143-000,NEC,0.4510253246371702,0.29117669372581745,0.9979070340501792,0.49442834138486313,0.41462755901258574,0.9991190289631715,90.60353193998566,nnUnet
BraTS2024_PED-00144-000,EDE,0.0,0.0,0.9748517025089606,,,0.9748517025089606,,nnUnet
BraTS2024_PED-00144-000,ENH,1.0,1.0,1.0,,,1.0,,nnUnet
BraTS2024_PED-00144-000,NEC,0.5666765723707545,0.39535848047084005,0.9949369399641577,0.9735507246376811,0.39965114864042617,0.9999093069685792,3.0,nnUnet
BraTS2024_PED-00145-000,EDE,0.39378196500672946,0.24516096596336578,0.9949549731182795,0.2705967222818246,0.722848107520506,0.9955731866208369,120.70625501605126,nnUnet
BraTS2024_PED-00145-000,ENH,0.08558450872579489,0.044705294705294704,0.9991431451612903,0.05288035450516987,0.22431077694235588,0.9992816816267782,120.9710709219357,nnUnet
BraTS2024_PED-00145-000,NEC,0.3547931981881637,0.2156526448817476,0.9980535394265233,0.541109852774632,0.26391957578435704,0.9995452247703004,109.27945827098522,nnUnet
BraTS2024_PED-00146-000,EDE,0.25248915838537467,0.14448503114984138,0.9824501568100359,0.14645620482394484,0.91478549452069,0.9826701050772367,73.0,nnUnet
BraTS2024_PED-00146-000,ENH,0.4166389853540692,0.26313581141647435,0.9956724910394266,0.8984761656681427,0.27119943389550655,0.999824380097793,4.0,nnUnet
BraTS2024_PED-00146-000,NEC,0.43132910607551195,0.27496469000990786,0.9922953629032258,0.46855859901212393,0.3995803081824587,0.9966615192592246,5.477225575051661,nnUnet
BraTS2024_PED-00147-000,EDE,0.0,0.0,0.9892325268817205,,,0.9897270578410651,142.84257068535277,nnUnet
